id,name_short,name,type,sex,birth,position,education,subject,party,kids,religion,insta,facebook,twitter,youtube
bs,Strasser,Benjamin_Strasser,0,2,1987,1,3,2,2,0,2,3923,3373,5815,289
ck,Kuehn,Christian_Kuehn,0,2,1979,1,4,1,1,3,3,1667,100,4791,35
co,Oezdemir,Cem_Oezdemir,0,2,1965,2,2,4,1,2,0,10541,162604,317339,0
fb,Brantner,Franziska_Brantner,0,1,1979,1,1,1,1,1,0,4473,2748,14060,26
ft,Toncar,Florian_Toncar,0,2,1979,1,1,2,2,3,1,3076,4490,8591,101
jb,Brandenburg,Jens_Brandenburg,0,2,1986,1,1,1,2,0,0,3328,0,5417,0
mt,Theurer,Michael_Theuer,0,2,1967,1,2,3,2,2,1,3747,27927,8486,0
rs,Schwarzeluehr,Rita_Schwarzluehr,0,1,1962,1,2,3,3,2,2,1539,2944,4261,18
tl,Lindner,Tobias_Lindner,0,2,1982,3,1,3,1,0,0,3595,4926,10522,0
ag,Ag,Agora,1,0,0,0,0,0,0,0,0,0,0,0,0
bun,BUN,Bundesministerium_fuer_umwelt_naturschutz_nukleare_sicherheit_und_verbraucherschutz,1,0,0,0,0,0,0,0,0,0,0,0,0
dbt,dBT,deutscher_Bundestag,1,0,0,0,0,0,0,0,0,0,0,0,0
eup,EUP,europaeisches_Parlament,1,0,0,0,0,0,0,0,0,0,0,0,0
fdpbw,FDPBW,FDP_BaWue,1,0,0,0,0,0,0,0,0,0,0,0,0
fr,Fr,Freiburg,1,0,0,0,0,0,0,0,0,0,0,0,0
ih,IH,Ausschuss_fuer_Inneres_und_Heimat,1,0,0,0,0,0,0,0,0,0,0,0,0
jl,JL,Junge_Liberale,1,0,0,0,0,0,0,0,0,0,0,0,0
ra,RA,Rechtsanwalt,1,0,0,0,0,0,0,0,0,0,0,0,0
tue,Tue,Tuebingen,1,0,0,0,0,0,0,0,0,0,0,0,0
ub,UB,Unternehmensberatung,1,0,0,0,0,0,0,0,0,0,0,0,0